Gene ID, elongating embryo, L1 larva, L2 larva, dauer larva, L3 larva, adult
acox-1.2,0.7,0.2,50,0.4,6,2
acox-1.3,0.4,2,3,6,3,0.4
acox-1.4,0.1,20,14,4,0.4,11
F08A8.5,2,0.7,0.7,0.7,0.6,0.8
fbxa-101,8,2,4,30,12,20
kcnl-2,0.2,6,18,0.4,1,22
prmn-1,36,12,32,15,17,2
F08B12.4,32,106,188,53,172,250
srbc-61,,0.2,0.2,,,
scl-24,,6,3,,1,474
F08G2.4,53,15,9,24,7,14
F08G2.5,0.7,4,2,1,2,0.4
F08G2.7,25,9,7,1,6,3
F08G2.8,6,2,6,3,2,4
dsb-1,2,1,5,3,7,10
acl-13,0.1,0.1,2,5,0.6,0.1
F08G5.3,1,20,15,62,6,2
ugt-65,2,23,5,1,3,0.3
irg-4,3,0.4,53,11,47,1
F08G12.1,35,8,9,7,7,4
snrp-40.1,54,13,20,14,16,37
F08G12.3,7,15,3,4,3,3
F08G12.5,6,3,35,18,1,13
nlp-57,1,30,4,20,4,0.2
F08H9.2,136,0.5,0.2,0.1,0.2,0.2
F08H9.3,12,0.2,0.1,1,17,4
F08H9.4,0.1,3,0.7,277,0.4,0.2
clec-227,0.6,4,3,8,0.1,0.1
clec-57,0.1,26,17,2,0.4,0.1
clec-56,0.1,38,14,1,20,4
clec-54,0.1,0.7,11,1,6,0.1
clec-55,0.8,0.2,1,0.7,0.1,0.1
spin-3,4,6,1,5,0.1,0.1
F09A5.2,2,1,2,0.1,0.3,0.3
F09A5.3,2,7,0.3,0.1,0.2,0.6
mob-2,41,132,26,41,20,17
oac-14,1,5,4,3,0.1,0.4
F09B9.4,11,54,80,121,90,11
F09B9.5,0.2,20,8,8,6,1
mlt-9,159,13,43,0.3,1,11
dhhc-1,65,17,12,11,10,12
F09B12.3,20,57,345,4,197,22
F09B12.5,0.7,0.4,0.1,0.2,0.2,6
F09C3.2,0.2,78,20,37,12,8
fbxb-68,0.1,0.1,2,9,23,0.1
fbxa-103,3,3,10,0.5,16,5
fbxb-69,5,1,0.1,6,0.1,0.7
F09C6.1,,0.1,0.1,,,
fbxa-44,0.1,0.4,0.2,0.1,0.1,0.3
F09C6.3,,0.2,0.1,,,
nhr-262,,0.3,0.6,,,
F09C6.10,,1,1249,,,
F09C8.1,0.2,32,1,1,14,0.3
F09C8.2,84,49,17,18,17,15
spe-43,13,0.2,0.1,0.6,0.5,0.7
crld-1,48,7,25,12,26,16
scl-14,,0.2,0.2,,0.5,1
nlp-79,0.5,5,67,0.1,7,68
ttr-21,2,27,6,0.9,1,4
cpt-5,1,4,9,0.5,3,1
nhr-175,4,0.4,0.6,0.4,1,0.4
fbxa-88,,0.1,0.2,28,0.1,0.1
fbxa-18,,0.1,0.2,,0.4,
F10A3.4,9,13,5,0.6,0.1,4
F10A3.7,,0.6,0.1,,,
F10A3.11,,0.1,2,2,0.6,13
F10A3.12,,0.1,0.1,,,
F10B5.2,15,3,15,32,16,24
F10B5.3,0.1,1,202,0.2,0.7,197
pch-2,20,4,3,13,3,7
F10B5.8,4,9,15,12,7,21
tmem-138,0.3,17,6,1,0.3,0.1
F10C2.3,0.2,11,2,2,3,0.7
F10C2.4,14,12,16,17,15,38
F10C2.5,4,10,7,13,4,5
F10C2.7,,0.1,0.1,,0.5,
F10D11.2,52,14,9,15,9,24
F10D11.3,,0.4,0.2,,7,147
F10D11.5,,0.1,0.2,,2,11
F10D11.6,147,131,32,0.3,3,2
pfas-1,0.3,16,36,0.7,10,32
lips-3,103,5,8,0.4,0.4,3
lron-5,6,15,2,0.1,0.3,0.3
clec-154,,0.2,0.3,,0.1,
clec-152,,0.1,0.1,,0.1,60
clec-151,907,1,0.3,0.1,0.1,0.2
clec-153,,0.2,0.1,,0.3,
F10G8.1,,1,4,,1,
F10G8.2,0.1,0.9,3,1,0.9,0.1
eak-6,0.3,0.2,0.9,0.4,3,0.2
nubp-1,37,29,38,41,42,39
ercc-1,7,27,10,29,11,38
F10G8.8,113,14,16,18,18,3
F10G8.9,4,5,8,5,3,13
F11A1.2,0.7,2,0.1,0.7,0.2,0.1
acs-14,70,25,47,12,76,17
eif-2Bdelta,20,5,13,9,17,25
F11A5.3,,0.1,5,,,
F11A5.4,,0.7,0.1,,,
F11A5.5,3,14,0.5,1,0.1,0.5
WBGene00008674,0.2,0.4,1,0.5,0.7,1
oac-15,,0.1,0.2,,,
F11A5.9,0.4,25,5,11,4,24
stdh-2,0.5,0.1,2,0.3,0.3,1
F11A5.15,,0.5,2,2,0.2,20
scrm-4,4,18,4,21,9,14
lex-1,43,18,25,21,20,79
repo-1,70,19,34,22,34,50
mig-32,31,10,11,11,8,27
mon-2,33,12,29,23,28,29
F11A10.5,51,32,15,18,15,66
F11A10.6,36,28,33,13,29,19
rbm-34,71,29,25,41,34,18
F11C1.1,68,17,17,14,17,4
mff-1,95,71,11,27,6,5
scav-4,0.1,12,8,5,5,5
F11C1.4,3,3,0.9,0.1,0.4,0.1
F11C1.5,34,12,22,16,31,14
F11C3.1,3,1,0.8,2,0.8,6
F11D11.3,,0.2,0.1,,0.5,0.4
clec-254,,6,0.2,,,
clec-251,,0.1,12,,,
gba-3,11,41,8,6,6,4
F11E6.3,3,21,63,4,283,138
F11E6.4,5,2,0.7,0.3,19,13
F11E6.6,2,1,0.3,2,0.1,0.1
F11E6.7,15,10,6,16,5,6
F11E6.8,38,33,17,5,13,1
F11E6.9,28,24,3,2,97,41
F11E6.10,7,0.2,0.3,2,8,7
F11F1.1,1,4,3,0.2,1,1
ttr-52,87,0.5,0.1,98,107,15
F12F6.1,130,17,24,21,19,65
F12F6.7,15,10,12,13,7,16
F12F6.8,0.1,0.5,0.1,4,4,15
F13A7.1,,10,0.2,,63,
F13A7.7,,0.1,8,,,
F13A7.11,3,3,3,0.8,2,2
F13A7.12,0.4,4,0.1,0.2,0.3,1
sre-36,0.5,0.3,2,0.2,0.8,5
F13B12.1,58,39,28,73,32,81
F13B12.2,4,5,3,3,9,2
F13B12.3,9,8,3,0.1,0.5,9
F13B12.4,0.4,0.2,0.5,1,0.1,0.1
F13B12.6,39,65,17,32,15,41
F13B12.7,,0.3,0.9,,7,
F13D2.1,15,6,12,20,10,2
gnrr-6,0.4,0.6,0.8,2,8,0.1
gnrr-7,1,2,0.6,0.5,0.2,0.1
F13D12.3,0.4,10,5,49,10,14
F13D12.5,1,3,9,2,5,10
F13D12.6,8,63,224,6,255,214
F13D12.8,11,7,12,23,9,4
F13D12.9,0.1,32,51,16,17,35
F13D12.10,0.6,7,6,5,5,0.5
F13E6.1,285,127,83,76,83,38
F13E6.2,7,4,0.6,0.4,0.2,0.5
phf-31,5,3,7,6,2,4
yap-1,113,249,48,59,32,24
plpp-1.3,47,14,28,9,32,10
F13E9.1,15,8,11,14,10,15
F13E9.5,,1,0.3,,0.3,
sdz-13,,21,0.9,2,4,0.1
F13E9.8,,2,0.1,,0.1,8
F13E9.10,,0.6,178,,,
F13E9.11,418,111,16,17,4,3
F13E9.12,0.6,8,6,2,30,4
ztf-2,0.2,21,2,0.2,3,0.7
F13G3.3,0.7,5,0.8,4,0.6,0.9
dylt-1,131,75,67,71,91,81
ttx-7,47,58,52,37,56,55
F13G3.6,22,14,7,29,9,13
F13G3.7,55,18,23,29,22,23
F13G3.10,106,6,63,52,115,150
mrpl-13,67,23,47,50,45,28
F13G3.12,3,3,0.9,0.3,0.1,7
irld-4,,14,,,,
F13H10.1,3,2,3,5,4,1
F13H10.3,23,36,18,17,25,28
mogs-1,16,8,19,12,30,36
F13H10.5,0.1,3,0.7,44,0.6,0.3
F13H10.6,39,131,94,128,36,70
F14B4.1,191,1,4,1,0.8,1
hxk-1,35,58,29,16,21,135
rpoa-2,41,6,19,22,27,20
sdz-14,0.2,1,37,22,83,0.3
F14B6.2,1,19,7,7,2,0.9
F14B6.3,8,0.1,0.1,107,1,1
F14B6.4,0.3,0.1,0.3,1,0.4,0.6
oac-16,,0.3,0.1,,,
F14B6.6,3,0.6,4,0.6,0.5,6
F14D7.2,2,0.9,47,7,3,6
F14D7.3,,0.5,2,,,
F14D7.4,28,0.8,0.2,16,0.4,0.3
F14D7.5,,1,134,,201,0.2
F14D7.6,0.3,6,2,0.4,0.2,5
F14D7.7,,0.4,35,,,
F14D7.8,3,0.5,0.5,0.2,0.9,0.3
F14D7.9,,2,,,,
F14D7.10,,0.6,0.1,,0.3,
F14D7.11,,0.1,10,,,
F14E5.1,0.8,0.6,0.7,1,1,0.6
F14E5.2,112,41,62,66,64,65
acp-3,,2,0.1,,0.2,
acp-2,15,2,4,0.7,2,5
lips-10,7,61,17,29,19,2
acp-4,0.2,0.1,0.1,0.3,0.2,0.2
git-1,64,20,11,7,10,7
mboa-7,27,16,13,8,13,4
F14F3.4,4,13,20,2,0.2,3
ntr-2,0.1,0.8,2,1,0.3,4
cyp-13A11,,0.2,0.2,,0.4,0.1
cyp-13A12,0.4,0.5,0.1,0.1,0.8,2
F14F7.4,,4,22,,,
F14F7.5,46,0.1,0.8,0.4,0.9,0.2
F14F8.8,7,2,0.8,0.1,0.4,1
shw-1,4,22,6,14,4,1
nlp-55,2,46,131,3,9,152
best-12,,1,5,,,
F14H3.3,0.8,3,2,21,23,7
F14H3.4,29,18,3,13,6,2
F14H3.5,7,2,3,0.6,9,0.1
F14H3.6,46,0.6,8,58,0.3,20
fbxa-100,,0.1,0.3,,,
cyp-35D1,0.7,0.6,0.1,0.6,0.6,0.5
nhr-176,3,0.6,6,7,2,5
F14H3.12,,4,7,34,0.1,0.4
obr-2,19,26,22,62,14,12
F14H8.2,0.1,0.3,0.2,2,0.7,0.2
F14H8.4,2,2,2,0.1,0.3,1
F14H8.5,,0.1,0.1,,0.2,0.2
sre-38,,0.2,0.1,,,
F15A4.2,14,2,12,2,3,27
sre-37,0.1,1,0.5,0.2,0.4,0.5
F15A4.5,0.1,13,3,3,1,0.1
F15A4.6,19,53,71,24,33,0.4
chil-28,,4,2,,,
arrd-9,,0.5,0.9,0.4,0.5,6
F15A4.10,223,0.1,0.5,7,0.2,57
fbxb-102,6,8,0.9,0.1,9,0.6
inft-2,11,5,5,9,9,35
try-10,0.4,0.3,1,0.9,2,0.3
F15B9.6,1,2,2,0.1,0.3,0.1
F15B9.8,430,42,26,153,2,785
ubql-1,126,141,112,80,123,111
clec-101,,0.7,0.1,,,
F15D3.4,0.5,1,0.1,0.3,0.1,0.1
F15D3.6,23,45,17,30,38,41
timm-23,56,70,72,196,58,49
pals-1,1,2,0.3,0.6,2,1
F15D4.2,25,12,9,66,14,53
romo-1,164,7,108,92,86,76
F15D4.4,1,1,2,0.3,0.5,0.2
F15D4.5,4,2,3,5,4,2
F15D4.6,0.3,0.6,2,3,2,1
F15G9.1,86,9,22,30,15,30
WBGene00008867,,0.1,0.3,,,
F15G9.5,0.1,7,13,5,2,9
F15G9.6,11,1,0.4,0.1,0.5,0.8
tag-314,,2,0.1,,,
F15H10.7,1,0.2,0.7,0.1,0.2,0.1
F15H10.8,1,0.3,8,0.7,2,0.1
F16A11.1,16,57,22,37,14,35
rtcb-1,12,6,9,12,14,15
ppfr-1,25,18,18,15,20,30
F16B12.1,0.2,0.4,0.1,0.3,0.4,1
F16B12.4,41,25,6,3,4,5
F16B12.5,1,0.4,0.2,0.1,0.2,0.2
F16B12.6,28,26,15,8,8,26
F16B12.7,1,0.2,1,0.3,1,0.2
nhr-281,0.2,0.1,0.1,0.1,0.2,1
F16C3.1,0.4,50,11,16,4,0.8
F16C3.2,11,152,5,27,7,5
tbcd-1,22,6,9,13,13,22
F16D3.6,5,0.1,7,0.1,0.2,0.7
ser-5,2,13,4,3,2,0.6
clec-42,3,2,4,0.1,0.3,0.5
clec-246,3,1,0.1,3,0.1,0.2
F16H6.4,,0.1,0.6,12,0.1,2
F16H6.7,2,3,4,1,14,5
F16H6.9,,0.2,0.2,,0.1,
F16H6.10,1,7,19,5,8,19
nhr-27,,0.1,,,,
phf-32,22,0.2,0.3,0.4,0.2,0.4
F17A2.13,0.1,5,6,3,5,27
F17B5.1,0.3,0.5,0.7,0.8,0.1,0.3
oac-17,,0.3,2,,,
F17B5.4,,0.2,0.2,,,
F17C8.3,0.3,8,25,2,3,16
F17C8.7,0.4,1,1,0.8,5,1
F17C11.2,0.9,187,51,232,24,8
F17C11.4,9,160,20,92,25,22
clec-221,0.7,1,1,0.9,0.7,0.7
F17C11.6,0.4,6,30,4,5,0.6
F17C11.7,24,11,18,14,20,24
vps-36,30,35,34,37,29,20
eef-1G,259,316,1030,1791,1159,978
ctf-4,5,13,7,14,6,12
F17C11.11,3,9,9,3,19,24
F17C11.12,8,2,11,1,15,2
F17E5.2,24,10,11,10,11,5
F17H10.1,16,18,12,9,19,17
F17H10.2,1,10,282,2,20,147
snx-17,40,20,13,20,12,4
F18A11.2,0.9,17,3,24,3,0.5
F18A11.3,66,7,31,28,29,24
F18A11.5,5,34,10,11,5,2
F18A11.6,0.2,0.1,0.1,0.2,0.2,0.5
F18C12.3,19,9,7,15,11,6
F18C12.4,,2,0.6,,0.1,0.6
papl-1,8,1,32,0.1,13,4
srt-43,0.1,3,0.3,2,0.1,0.3
F18H3.1,31,15,7,16,8,10
F18H3.4,22,40,15,9,8,10
srz-34,,0.1,0.1,,0.4,
F19B2.5,0.4,32,52,8,60,10
F19B2.6,0.9,2,1,0.1,2,1
F19B2.7,,0.1,4,,,
F19B6.1,36,54,41,62,59,96
F19B6.3,,0.5,0.1,10,0.1,0.3
wht-5,,0.1,0.1,0.1,3,17
F19C6.2,27,33,15,10,9,7
F19C6.3,4,5,1,0.1,0.4,0.1
F19C6.4,3,3,2,1,0.9,4
F19C6.5,9,10,20,29,10,9
F19D8.2,0.6,0.4,2,1,0.5,0.9
nekl-3,17,15,15,23,14,3
glb-13,8,7,4,0.1,0.8,1
F19H6.3,,0.1,0.1,,0.1,0.2
F19H6.4,52,45,2,16,5,4
F19H6.6,,0.1,0.2,,0.1,
F19H8.2,0.2,65,20,2,3,8
mltn-9,21,1,34,0.2,2,14
mltn-10,1,0.9,0.6,2,0.1,0.1
F20B10.2,3,0.6,15,1,2,1
F20B10.3,0.7,6,4,0.1,0.1,15
elli-1,3,0.2,2,8,9,67
F20C5.4,0.3,6,13,5,5,12
F20C5.5,4,0.4,0.3,5,2,4
F20C5.6,250,17,14,8,2,3
F20C5.7,5,0.1,0.2,0.1,0.2,0.1
F20D1.1,170,64,50,39,39,70
tbc-1,44,14,14,10,8,17
F20D1.3,36,117,65,75,52,89
plp-2,0.9,0.4,1,2,0.5,2
iglr-1,19,3,1,0.6,0.2,16
cutl-3,2,4,17,15,1,3
slc-25A18.1,38,18,42,21,39,17
emre-1,11,28,16,44,11,8
F20G2.1,0.1,3,3,1,0.9,0.1
F20G2.2,161,14,52,34,68,24
F20G2.3,4,37,17,35,9,17
F20G2.5,3,0.4,0.3,0.5,1,0.3
F20G2.6,0.6,0.9,0.9,0.1,9,0.1
smgl-1,27,7,16,10,22,15
F20G4.2,2,3,2,2,2,8
F21A3.2,1,0.9,0.2,3,1,10
F21A3.3,6,9,12,0.4,4,2
F21A3.4,0.3,0.2,1,0.7,2,2
prde-1,0.6,2,3,1,3,9
glb-14,4,4,5,0.2,1,6
lgc-31,0.7,12,8,10,3,1
ncs-4,0.4,4,3,1,3,1
myrf-2,102,94,44,44,30,21
arrd-28,1,2,0.5,0.2,0.4,0.6
tyr-3,,52,0.1,,0.2,0.6
hint-1,58,18,51,41,50,39
pfd-6,81,80,45,54,56,71
F21C3.6,,0.1,4,,9,
F21D5.1,18,6,13,18,19,113
otub-3,26,8,11,11,17,43
F21D5.3,0.5,34,27,9,9,15
F21D5.4,60,3,4,21,2,4
F21D5.5,37,19,15,29,18,11
F21D5.6,39,25,14,16,15,32
F21D5.7,77,35,70,48,78,41
mrps-33,60,46,43,41,61,30
F21D5.9,8,0.8,0.5,13,2,45
F21D9.1,0.1,1,0.6,0.7,1,0.7
F21D9.2,0.1,0.9,3,22,5,1
F21D9.4,10,0.8,1,0.4,0.1,6
F21D9.5,,1,8,2,4,4
F21D9.6,20,0.2,1,20,13,6
F21D9.8,,0.1,0.1,,0.4,
WBGene00009022,3,0.4,0.1,0.4,6,7
F21G4.1,0.9,5,4,12,3,3
F21G4.3,1,2,0.1,0.2,0.4,0.1
phf-34,21,6,7,6,3,4
F21G4.5,1,3,2,1,5,2
F21G4.6,13,4,4,4,4,2
F21H7.2,6,1,3,5,10,0.1
F21H7.3,2,97,6,1,0.8,0.3
clec-233,0.4,0.6,10,1,7,3
F21H7.5,248,4,0.1,0.4,0.1,41
bgnt-1.3,,0.1,1,11,1,0.1
F21H7.12,,0.1,0.3,5,0.1,10
gfat-2,1,0.1,2,2,6,361
F22B3.8,,0.1,0.1,,11,
cut-3,4,0.4,1,0.1,0.6,1581
F22B5.4,15,1,7,0.9,5,6
F22B5.5,0.1,1,0.1,8,0.3,0.3
F22B5.6,3,2,1,2,1,0.8
F22B5.10,250,44,62,63,76,74
F22B8.4,13,0.1,4,0.6,0.4,0.4
cth-1,14,4,9,17,14,4
F22B8.7,33,17,12,28,12,7
F22D6.2,269,3412,242,338,162,356
nduf-6,113,28,120,60,102,87
ekl-1,16,7,22,24,21,32
F22D6.9,5,3,3,15,9,7
F22D6.14,68,6,16,23,6,30
F22D6.15,1,3,12,0.3,1,0.4
cept-1,14,46,17,11,35,16
F22E12.1,0.8,50,21,25,19,7
chw-1,23,19,19,98,13,16
F22E12.3,0.5,2,3,18,4,2
pals-14,151,1,0.5,0.8,0.3,2
F22G12.3,0.2,0.1,10,0.4,0.2,0.1
F22G12.4,9,3,13,5,7,22
F22G12.5,13,18,9,10,10,41
F23A7.1,1,18,3,1,38,82
F23A7.3,0.9,4,3,0.4,0.9,0.2
F23A7.4,251,0.1,9,37,181,537
F23A7.5,0.6,0.2,1,1,0.5,0.3
F23A7.6,0.6,0.2,1,5,4,11
delm-1,,0.1,0.6,,,
F23B2.7,,0.3,0.5,,14,
F23B2.10,11,1,0.6,0.5,0.1,0.2
rpb-12,117,15,35,71,90,244
F23B12.1,0.2,3,0.2,3,1,0.3
F23B12.4,7,82,41,5,43,21
dlat-1,31,83,186,74,198,145
F23B12.7,37,14,18,38,30,27
F23D12.1,2,0.4,0.1,0.4,0.6,0.4
F23D12.2,0.1,0.2,0.3,0.5,0.2,0.1
F23D12.3,17,3,3,1,0.2,2
F23D12.4,0.5,0.7,30,0.1,0.2,12
jmjd-3.2,21,0.1,0.1,3,0.3,11
fipr-3,0.1,50,8,3,28,20
F23D12.7,0.2,109,108,38,0.1,48
tomm-20,63,14,89,36,83,75
F23H12.3,1,6,8,5,5,8
F23H12.5,35,3,43,0.2,0.3,31
F23H12.7,0.4,0.4,0.2,0.2,1,0.1
fipr-1,2,129,4,0.4,11,1
fipr-2,10,80,160,23,174,21
ehbp-1,33,18,18,21,21,35
F25B3.2,5,0.1,3,0.1,4,0.1
rgef-1,0.7,30,8,7,3,0.5
F25B3.4,0.3,4,3,2,2,0.1
F25B3.5,1,3,2,3,4,0.4
rtfo-1,75,53,27,30,23,66
F25C8.1,,0.1,0.1,,0.5,
acs-12,6,19,9,27,8,3
F25D1.2,0.1,0.2,0.1,1,2,0.1
F25D1.3,0.1,0.1,18,0.1,3,4
degt-1,0.3,0.9,0.4,10,0.3,0.1
F25D1.5,1,5,2,2,6,1
tag-353,52,60,49,64,50,97
maph-1.2,0.8,0.9,2,2,5,51
F25D7.5,,0.1,0.3,,0.4,0.1
F25F2.1,0.6,0.2,2,0.1,2,0.1
snx-27,43,25,12,11,8,7
F25H2.3,1,0.7,0.2,0.5,0.3,0.2
F25H2.4,213,35,23,74,38,25
ndk-1,761,384,2056,1617,1800,2185
F25H2.6,25,37,21,27,20,30
F25H2.7,19,10,5,9,6,4
tct-1,1454,1853,1650,3734,2242,1055
F25H2.12,4,5,9,9,2,14
rtel-1,0.6,5,6,5,2,11
F25H5.2,0.8,2,0.7,2,2,1
pyk-1,16,300,95,166,110,143
clsp-1,20,13,9,14,10,19
mrpl-54,32,7,21,17,27,28
F25H5.7,0.4,1,2,2,1,0.4
F25H5.8,180,2,12,0.1,111,0.5
F25H8.1,11,11,9,27,6,16
F25H8.2,30,7,13,18,15,29
bed-3,93,20,8,0.3,2,20
lurp-2,,0.4,0.2,5,0.1,0.5
F25H9.2,9,5,4,4,3,2
lurp-3,0.2,2,0.3,4,0.1,1
bath-39,17,4,4,4,3,1
F25H9.6,17,2,7,8,8,21
F25H9.7,29,24,16,20,14,13
F26A3.1,30,39,23,83,24,12
ncbp-2,47,15,12,16,17,50
F26A3.4,3,325,84,131,50,39
F26A3.5,75,4,0.5,0.2,0.5,9
del-3,0.1,3,1,5,0.5,0.2
F26A3.7,12,3,7,11,9,16
F26C11.1,2,2,2,3,0.1,0.2
F26C11.3,,0.1,0.1,,58,
F26D2.3,0.5,0.2,0.1,0.3,0.7,0.7
F26D2.10,0.8,0.2,0.1,0.1,0.1,1
F26D2.13,,4,4,,,
F26D2.14,,0.2,3,,4,
F26D2.15,2,3,1,1,2,0.1
F26D2.16,171,0.2,3,0.9,0.3,1
lhfp-4,3,8,0.5,20,2,0.1
clec-196,290,4,1,0.7,0.9,2
F26E4.2,57,46,47,22,13,18
F26E4.3,0.8,34,17,73,7,4
F26E4.4,23,13,8,18,13,31
F26E4.5,14,0.3,0.1,0.4,0.1,0.1
cox-7C,382,109,619,296,662,1046
F26E4.7,5,6,9,44,2,7
drsh-1,8,0.9,4,5,4,18
hrdl-1,40,226,31,105,32,84
gpx-1,82,6,24,8,30,8
F26F2.1,3,0.6,0.1,0.1,0.3,0.1
F26F2.3,0.6,0.1,0.6,1,0.4,0.4
F26F2.4,,0.6,0.2,,0.1,0.4
F26F2.5,2,5,10,0.2,10,0.3
clec-263,,36,0.1,,,
F26F2.7,7,14,4,7,6,20
prom-1,1,2,2,4,4,5
F26H9.2,53,50,15,58,19,29
nmat-2,11,10,3,10,5,16
F26H9.5,23,7,49,12,80,28
uggt-2,0.8,0.2,2,0.2,0.2,0.2
kbp-3,348,17,20,71,15,21
nurf-1,63,67,31,28,23,47
F26H11.4,0.4,1,0.4,1,2,4
F27C8.2,2,2,9,0.2,7,3
F27C8.3,0.2,0.1,2,0.6,1,0.3
F27C8.5,0.1,4,3,0.2,0.2,7
trcs-1,28,8,9,11,200,15
F27D4.1,80,57,241,60,214,138
lsy-22,112,80,36,44,28,64
F27D4.4,54,25,67,45,100,45
F27D4.6,2,7,9,34,2,8
F27D4.7,39,3,12,17,15,23
asah-2,2,40,9,0.2,19,3
F27E5.3,0.8,0.4,0.1,1,0.2,0.5
F27E5.5,,2,0.1,4,0.1,1
F28C1.1,23,14,11,12,13,18
F28C1.3,39,92,24,36,16,15
aptf-4,3,0.5,0.2,2,7,2
aptf-3,0.8,0.7,0.8,4,2,17
F28C6.4,0.8,5,7,6,2,7
F28C6.5,20,27,6,0.1,0.5,2
F28C6.8,54,13,42,33,40,25
F28C6.9,,0.4,0.1,0.5,0.1,13
F28C6.10,2,1,0.3,2,2,4
wdr-46,33,14,21,28,25,29
atz-1,248,0.1,0.6,74,0.7,0.3
thn-1,1,2,4,1,1,1
thn-3,,0.1,0.1,,,
thn-2,,83,0.6,0.5,12,81
F28D1.6,3,19,9,0.3,1,0.5
spe-45,0.1,0.7,0.2,0.2,0.1,0.2
acs-20,18,9,65,3,22,3
dpm-3,125,17,45,50,93,134
F28D9.4,23,17,16,13,22,20
acs-2,0.1,6,23,22,13,40
fbxa-95,3,4,1,9,3,11
mdt-28,19,10,10,9,11,37
F28F8.7,0.8,2,2,2,1,1
fbxa-94,1,0.4,0.2,0.2,0.5,0.1
cyp-37B1,0.1,5,34,0.5,5,23
F28G4.2,0.3,0.3,0.1,4,2,0.2
F28G4.4,1,0.1,3,3,0.9,0.5
oac-18,,0.2,0.2,,17,
ceh-89,20,6,4,1,3,0.5
nkat-1,0.3,0.1,0.2,0.6,0.4,0.2
F28H6.4,13,10,6,8,4,11
F28H6.6,20,9,7,12,6,5
F28H7.2,3,0.4,0.3,0.1,0.1,0.6
F28H7.3,5,84,3,0.3,97,0.9
selt-1.2,9,0.4,0.3,0.5,0.2,0.7
irld-6,0.6,4,1,2,0.5,0.1
F28H7.7,5,0.2,1,1,0.5,0.3
F28H7.8,0.6,21,9,15,10,2
sre-6,,0.1,0.6,,1,
F29C6.1,0.2,21,23,3,8,37
rict-1,8,10,7,14,10,35
gfm-1,38,90,57,61,48,27
bath-45,0.5,0.8,0.7,1,1,0.3
F29C12.6,,0.3,0.5,0.6,3,5
F29D10.1,2,1,2,2,2,2
F29D10.2,,0.1,0.8,,0.9,0.5
F29D10.3,0.1,0.1,0.2,0.2,0.4,0.2
capg-1,73,14,20,23,21,35
ugt-34,4,1,2,0.1,4,2
tut-2,32,5,12,25,16,12
F29G6.1,4,9,6,0.1,0.1,0.2
ccdc-149,11,4,1,2,0.2,11
hpo-34,10,155,125,28,146,53
calm-1,64,6,8,6,7,2
F30A10.2,1,9,11,98,0.5,0.3
F30A10.3,25,32,16,63,20,43
F30A10.4,,0.1,0.1,,,
sac-1,65,22,36,25,39,53
F30A10.9,146,28,31,237,44,30
usp-48,29,8,14,15,15,30
F30A10.11,,1,0.1,,,
F30A10.12,,9,0.8,,,
F30F8.1,2,4,8,3,7,10
glna-3,0.8,7,3,4,6,2
gras-1,31,14,9,16,14,75
F30F8.5,32,18,19,22,17,3
F30F8.9,40,12,28,25,33,21
F30F8.10,33,18,10,15,12,37
npr-33,0.3,0.5,0.4,0.1,6,1
F31B9.2,,0.1,38,,,
F31B9.3,2,1,1,4,0.5,4
F31B9.4,,0.1,4,,,
F31B12.4,1,0.6,0.6,2,5,1
F31C3.2,27,12,16,20,19,43
F31C3.3,32,18,14,16,13,31
zipt-1,25,14,16,18,19,55
psf-2,131,6,7,24,9,9
F31C3.6,5,9,4,64,3,4
exos-7,34,29,20,40,23,26
F31D4.2,70,36,44,66,29,39
clec-264,0.3,4,3,6,2,5
F31D4.5,74,1,2,2,2,0.5
F31D4.8,2,12,16,25,7,8
F31D4.9,225,54,267,80,209,141
fbxa-180,,0.7,8,,5,
F31E9.3,3,0.8,0.8,0.8,2,0.3
sdz-16,,0.3,43,,20,4
F31E9.6,8,4,3,3,0.8,4
F31F6.1,4,14,0.2,5,0.3,7
F31F6.2,2,0.1,0.6,0.1,10,0.3
F31F6.3,5,0.2,7,0.4,0.2,0.1
lips-8,,0.2,0.3,,0.1,
eva-1,126,29,17,9,7,1
F32A7.4,9,6,12,16,13,22
maph-1.1,61,95,68,35,51,25
F32A11.1,25,112,53,32,53,53
F32A11.3,187,0.2,0.3,0.5,0.4,0.4
F32A11.4,,0.1,0.2,,0.3,
F32A11.5,,1,0.8,,,
mltn-1,0.7,18,3,1,0.5,0.1
F32B4.1,0.1,0.1,0.6,0.2,0.1,0.1
F32B4.2,,5,0.3,,0.1,
F32B4.4,15,14,9,10,11,19
F32B4.5,0.9,5,35,0.9,3,22
abhd-11.1,,8,0.1,,,
F32B4.8,6,0.2,0.8,0.3,0.3,2
mccc-1,17,24,60,20,90,47
F32B6.3,26,11,15,32,6,20
F32B6.4,,0.3,0.2,,0.1,
tbc-3,41,31,51,24,39,34
best-13,11,12,11,19,11,3
ttbk-3,0.3,0.3,0.7,0.3,0.1,0.2
F32D8.15,2,9,20,4,2,13
F32D8.1,12,6,2,0.1,0.1,4
F32D8.2,7,0.3,1,0.1,0.3,0.5
F32D8.3,0.1,3,4,17,1,1
F32D8.4,19,6,9,13,11,10
F32D8.5,28,2,13,12,22,18
F32D8.7,0.5,26,18,12,11,0.9
F32D8.8,,0.3,0.8,0.2,0.6,8
F32D8.10,0.3,7,12,0.3,3,9
